antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Voltage=VeryHigh, Global_intensity=Medium, Attention_Type=Early",EDP_State=Lower,0.07544828111318384,0.5690866867171737,0.05514143221532722,0.7308507417499244,1.2842520459684286,1.0,0.012204819898119515,1.6010198805097589,0.23939888462417014,0.09355622157916495,0.37539813704149405,0.41387267556716595
"Global_intensity=Medium, Attention_Type=Early",EDP_State=Lower,0.1905128107511326,0.5690866867171737,0.13871397571096813,0.7281083889532792,1.2794331794219895,1.0,0.030295671463430138,1.5848716759737758,0.26980524189449473,0.2234131266555479,0.36903408953562084,0.4859284000666103
"Global_reactive_power=VeryHigh, Global_intensity=Medium",EDP_State=Lower,0.08597860433243233,0.5690866867171737,0.062367228842273574,0.7253808005667729,1.2746402569197244,1.0,0.013437949774162829,1.5691303236342065,0.23573290278670772,0.10522597055574111,0.36270430509306845,0.41748629544133187
"Voltage=VeryHigh, CAM_Cluster=0, Global_intensity=Low","EDP_State=Lower, Attention_Type=Early",0.07107016408421213,0.45712110252407967,0.05022271290973465,0.7066638097278767,1.5459006504532393,1.0,0.017735041146992356,1.8507054890577948,0.3801448574950045,0.10507534966705963,0.45966551355012947,0.40826561130673933
"Voltage=High, CAM_Cluster=0","EDP_State=Lower, Attention_Type=Early",0.09567898884531922,0.45712110252407967,0.06752198576160201,0.7057138309724653,1.5438224730289947,1.0,0.02378510089224057,1.8447312670855633,0.38952664518339125,0.1391408039664857,0.45791562281054055,0.42671260207427986
"Voltage=VeryHigh, Global_intensity=Low, Attention_Type=Early","CAM_Cluster=0, EDP_State=Lower",0.07200670042258348,0.26365401454296267,0.05022271290973465,0.6974727714920165,2.645409259938891,1.0,0.03123785726932807,2.433982518163999,0.6702490810109436,0.17594963721724285,0.5891507056696859,0.44397998178378223
"Voltage=VeryHigh, CAM_Cluster=0","EDP_State=Lower, Attention_Type=Early",0.13672669128564358,0.45712110252407967,0.0947196101572315,0.6927660522358968,1.5154978591245503,1.0,0.032218954292268634,1.7669886463612652,0.3940244989883597,0.1897701096822418,0.4340654072343442,0.44998753008223646
"Voltage=VeryHigh, Global_intensity=Medium",EDP_State=Lower,0.09088209540488065,0.5690866867171737,0.06275554878745193,0.6905160857908846,1.2133759265643467,1.0,0.011035758231574329,1.3923609386420719,0.19343267363275976,0.10508064002039903,0.28179542225935317,0.40039511625544555
"Voltage=VeryHigh, Attention_Type=Early",EDP_State=Lower,0.20555830509765105,0.5690866867171737,0.1419042905546884,0.6903359632551765,1.2130594149679375,1.0,0.024923795779468252,1.3915510429062756,0.22108365102432737,0.22426926270441994,0.2813774204706967,0.46984520028936694
"Global_intensity=Low, Attention_Type=Early","CAM_Cluster=0, EDP_State=Lower",0.19647466402710625,0.26365401454296267,0.1333688658773366,0.6788094869012556,2.5746222301145467,1.0,0.08156753195061023,2.292552100474589,0.7611377964093498,0.40815565653035074,0.5638048968252514,0.5923287622798652
"Global_intensity=Low, Global_reactive_power=Low, Attention_Type=Early","CAM_Cluster=0, EDP_State=Lower",0.08198119313206685,0.26365401454296267,0.05552213804393345,0.6772545741617907,2.5687246800918007,1.0,0.033907467357642065,2.2815071152276034,0.6652388319988258,0.19138102986719857,0.5616932363148734,0.4439208441317516
